City,FAA,IATA,ICAO,Airport,Role,Enplanements
Concord,JQF,USA,KJQF,Concord Regional Airport,P-N,"90,338"
Columbus,CSG,CSG,KCSG,Columbus Metropolitan Airport,P-N,"44,813"
Columbus,GTR,GTR,KGTR,Golden Triangle Regional Airport,P-N,"40,823"
Columbus,CMH,CMH,KCMH,John Glenn Columbus International Airport,P-M,"3,567,864"
Columbus,LCK,LCK,KLCK,Rickenbacker International Airport,P-N,"102,751"
Columbia,COU,COU,KCOU,Columbia Regional Airport,P-N,"65,014"
Columbia,CAE,CAE,KCAE,Columbia Metropolitan Airport,P-S,"553,658"
Colorado Springs,COS,COS,KCOS,City of Colorado Springs Municipal Airport,P-S,"657,694"
COLORADO,,,,,,
College Station,CLL,CLL,KCLL,Easterwood Airport (Easterwood Field),P-N,"78,907"
Cody,COD,COD,KCOD,Yellowstone Regional Airport,P-N,"40,340"
Cleveland,CLE,CLE,KCLE,Cleveland-Hopkins International Airport,P-M,"4,083,476"
Clarksburg,CKB,CKB,KCKB,North Central West Virginia Airport (was Harrison-Marion Regional),P-N,"26,025"
Cincinnati/Covington,CVG,CVG,KCVG,Cincinnati/Northern Kentucky International Airport,P-M,"3,269,979"
Cincinnati,LUK,LUK,KLUK,Cincinnati Municipal Lunken Airport,P-N,"25,706"
"Christiansted, St. Croix",STX,STX,TISX,Henry E. Rohlsen Airport,P-N,"196,047"
Chicago,ORD,ORD,KORD,Chicago O'Hare International Airport,P-L,"83,245,472"
Chicago,MDW,MDW,KMDW,Chicago Midway International Airport,P-L,"22,027,737"
Chattanooga,CHA,CHA,KCHA,Chattanooga Metropolitan Airport (Lovell Field),P-N,"422,442"
Charlottesville,CHO,CHO,KCHO,Charlottesville–Albemarle Airport,P-N,"295,930"
"Charlotte Amalie, St. Thomas",STT,STT,TIST,Cyril E. King Airport,P-S,"729,382"
Charlotte,CLT,CLT,KCLT,Charlotte/Douglas International Airport,P-L,"21,511,880"
Charleston,CHS,CHS,KCHS,Charleston International Airport / Charleston AFB,P-S,"1,811,695"
Charleston,CRW,CRW,KCRW,Yeager Airport,P-N,"213,412"
Champaign,CMI,CMI,KCMI,University of Illinois - Willard Airport,P-N,"89,318"
Ceiba,RVR,NRR,TJRV,José Aponte de la Torre Airport,P-N,"43,005"
Cedar Rapids,CID,CID,KCID,The Eastern Iowa Airport,P-S,"547,786"
Cedar City,CDC,CDC,KCDC,Cedar City Regional Airport,P-N,"14,413"
Casper,CPR,CPR,KCPR,Casper/Natrona County International Airport,P-N,"92,805"
CALIFORNIA,,,,,,
Butte,BTM,BTM,KBTM,Bert Mooney Airport,P-N,"25,890"
Burlington,BTV,BTV,KBTV,Burlington International Airport,P-S,"593,311"
Burbank,BUR,BUR,KBUR,Hollywood Burbank Airport (was Bob Hope Airport),P-M,"2,077,892"
Bullhead City,IFP,IFP,KIFP,Laughlin/Bullhead International Airport,P-N,"109,334"
Buffalo,BUF,BUF,KBUF,Buffalo Niagara International Airport,P-M,"2,348,512"
Brunswick,BQK,BQK,KBQK,Brunswick Golden Isles Airport,P-N,"36,054"
Brownsville,BRO,BRO,KBRO,Brownsville/South Padre Island International Airport,P-N,"120,151"
Brainerd,BRD,BRD,KBRD,Brainerd Lakes Regional Airport,P-N,"18,200"
Bozeman,BZN,BZN,KBZN,Bozeman Yellowstone International Airport (was Gallatin Field Airport),P-S,"553,245"
Boulder City,BVU,BLD,KBVU,Boulder City Municipal Airport,P-N,"211,615"
Boston,BOS,BOS,KBOS,Gen. Edward Lawrence Logan International Airport,P-L,"17,759,044"
Boise,BOI,BOI,KBOI,Boise Airport (Boise Air Terminal) (Gowen Field),P-S,"1,633,507"
Bloomington,BMI,BMI,KBMI,Central Illinois Regional Airport at Bloomington-Normal,P-N,"274,677"
Block Island,BID,BID,KBID,Block Island State Airport,P-N,"17,225"
Bismarck,BIS,BIS,KBIS,Bismarck Municipal Airport,P-N,"273,980"
Birmingham,BHM,BHM,KBHM,Birmingham–Shuttlesworth International Airport,P-S,"1,304,467"
Binghamton,BGM,BGM,KBGM,Greater Binghamton Airport (Edwin A. Link Field),P-N,"33,425"
Billings,BIL,BIL,KBIL,Billings Logan International Airport,P-S,"423,213"
Bethel,BET,BET,PABE,Bethel Airport (also see Bethel Seaplane Base),P-N,"155,791"
Bemidji,BJI,BJI,KBJI,Bemidji Regional Airport,P-N,"25,510"
Bellingham,BLI,BLI,KBLI,Bellingham International Airport,P-S,"415,285"
Belleville,BLV,BLV,KBLV,MidAmerica St. Louis Airport / Scott Air Force Base,P-N,"245,028"
Beaumont,BPT,BPT,KBPT,Jack Brooks Regional Airport (was Southeast Texas Regional),P-N,"26,518"
Baton Rouge,BTR,BTR,KBTR,Baton Rouge Metropolitan Airport (Ryan Field),P-N,"364,200"
Barrow,BRW,BRW,PABR,Wiley Post–Will Rogers Memorial Airport,P-N,"45,300"
Bangor,BGR,BGR,KBGR,Bangor International Airport,P-N,"269,013"
Baltimore,BWI,BWI,KBWI,Baltimore/Washington International Thurgood Marshall Airport,P-L,"13,371,816"
Bakersfield,BFL,BFL,KBFL,Meadows Field,P-N,"100,433"
Austin,AUS,AUS,KAUS,Austin-Bergstrom International Airport,P-M,"6,095,545"
Augusta,AGS,AGS,KAGS,Augusta Regional Airport (Bush Field),P-N,"270,797"
Atlantic City,ACY,ACY,KACY,Atlantic City International Airport,P-S,"589,091"
Atlanta,ATL,ATL,KATL,Hartsfield–Jackson Atlanta International Airport,P-L,"50,501,858"
Aspen,ASE,ASE,KASE,Aspen-Pitkin County Airport (Sardy Field),P-N,"254,392"
Asheville,AVL,AVL,KAVL,Asheville Regional Airport,P-N,"416,939"
ARKANSAS,,,,,,
ARIZONA,,,,,,
Arcata/Eureka,ACV,ACV,KACV,Arcata Airport,P-N,"69,732"
Appleton,ATW,ATW,KATW,Appleton International Airport,P-N,"348,026"
Aniak,ANI,ANI,PANI,Aniak Airport,P-N,"13,688"
Anchorage,LHD,,PALH,Lake Hood Seaplane Base (also see Lake Hood Airstrip),P-N,"23,382"
Anchorage,MRI,MRI,PAMR,Merrill Field,P-N,"19,144"
Anchorage,ANC,ANC,PANC,Ted Stevens Anchorage International Airport,P-M,"2,563,524"
AMERICAN SAMOA,,,,,,
Amarillo,AMA,AMA,KAMA,Rick Husband Amarillo International Airport,P-N,"334,815"
Alpena,APN,APN,KAPN,Alpena County Regional Airport,P-N,"10,031"
Allentown,ABE,ABE,KABE,Lehigh Valley International Airport (was Allentown–Bethlehem–Easton International Airport),P-N,"376,769"
Alexandria,AEX,AEX,KAEX,Alexandria International Airport,P-N,"129,776"
Albuquerque,ABQ,ABQ,KABQ,Albuquerque International Sunport,P-M,"2,341,719"
Albany,ABY,ABY,KABY,Southwest Georgia Regional Airport,P-N,"34,226"
Albany,ALB,ALB,KALB,Albany International Airport,P-S,"1,393,666"
ALASKA,,,,,,
ALABAMA,,,,,,
Akron,CAK,CAK,KCAK,Akron-Canton Regional Airport,P-S,"685,553"
Aguadilla,BQN,BQN,TJBQ,Rafael Hernández International Airport,P-N,"257,871"
Agana / Tamuning,GUM,GUM,PGUM,Antonio B. Won Pat International Airport,P-S,"1,444,299"
Abilene,ABI,ABI,KABI,Abilene Regional Airport,P-N,"84,809"
Aberdeen,ABR,ABR,KABR,Aberdeen Regional Airport,P-N,"26,529"
